total_violent_crime,household_income,"County,State"
3362,54306,"Campbell,KY"
51,39049,"Carlisle,KY"
183,40160,"Carroll,KY"
210,36406,"Carter,KY"
115,29934,"Casey,KY"
2388,38904,"Christian,KY"
1363,45853,"Clark,KY"
170,21883,"Clay,KY"
26,27100,"Clinton,KY"
110,34261,"Crittenden,KY"
54,31593,"Cumberland,KY"
3380,46555,"Daviess,KY"
102,37646,"Edmonson,KY"
18,24246,"Elliott,KY"
104,29184,"Estill,KY"
15893,48398,"Fayette,KY"
101,32495,"Fleming,KY"
229,30476,"Floyd,KY"
1955,46071,"Franklin,KY"
153,33582,"Fulton,KY"
124,43793,"Gallatin,KY"
169,44652,"Garrard,KY"
285,46159,"Grant,KY"
551,38394,"Graves,KY"
389,32399,"Grayson,KY"
79,34406,"Green,KY"
290,44060,"Greenup,KY"
34,51189,"Hancock,KY"
2206,48687,"Hardin,KY"
262,25906,"Harlan,KY"
617,36048,"Harrison,KY"
71,33408,"Hart,KY"
1161,41940,"Henderson,KY"
76,46016,"Henry,KY"
34,34029,"Hickman,KY"
1041,40891,"Hopkins,KY"
66,26156,"Jackson,KY"
37090,46959,"Jefferson,KY"
1867,49024,"Jessamine,KY"
234,34090,"Johnson,KY"
4597,54270,"Kenton,KY"
60,33889,"Knott,KY"
433,24038,"Knox,KY"
1034,36570,"Laurel,KY"
146,33525,"Lawrence,KY"
63,22920,"Lee,KY"
18,29293,"Leslie,KY"
139,31200,"Letcher,KY"
88,28388,"Lewis,KY"
188,33651,"Lincoln,KY"
109,40313,"Livingston,KY"
503,36590,"Logan,KY"
91,40112,"Lyon,KY"
3161,42312,"Madison,KY"
47,26877,"Magoffin,KY"
281,38719,"Marion,KY"
542,43907,"Marshall,KY"
129,26261,"Martin,KY"
578,41137,"Mason,KY"
245,46756,"Meade,KY"
43,29108,"Menifee,KY"
295,45396,"Mercer,KY"
78,31750,"Metcalfe,KY"
21,29808,"Monroe,KY"
1078,37312,"Montgomery,KY"
38,30658,"Morgan,KY"
218,38105,"Muhlenberg,KY"
781,43833,"Nelson,KY"
56,43081,"Nicholas,KY"
333,40830,"Ohio,KY"
691,83391,"Oldham,KY"
101,41009,"Owen,KY"
31,19986,"Owsley,KY"
223,45480,"Pendleton,KY"
414,33528,"Perry,KY"
621,32961,"Pike,KY"
183,26839,"Powell,KY"
1598,34092,"Pulaski,KY"
0,31786,"Robertson,KY"
162,30674,"Rockcastle,KY"
320,35236,"Rowan,KY"
168,29721,"Russell,KY"
1615,61893,"Scott,KY"
948,57298,"Shelby,KY"
521,39546,"Simpson,KY"
158,65209,"Spencer,KY"
620,36384,"Taylor,KY"
159,41541,"Todd,KY"
225,45629,"Trigg,KY"
21,49718,"Trimble,KY"
147,39125,"Union,KY"
4111,44135,"Warren,KY"
72,40845,"Washington,KY"
241,29497,"Wayne,KY"
55,41415,"Webster,KY"
611,29769,"Whitley,KY"
44,22574,"Wolfe,KY"
783,57580,"Woodford,KY"
1935,31778,"Washington Parish,LA"
6780,60526,"Barnstable,MA"
3318,48450,"Berkshire,MA"
16082,55298,"Bristol,MA"
453,66288,"Dukes,MA"
17270,67311,"Essex,MA"
1479,53663,"Franklin,MA"
18478,49094,"Hampden,MA"
3569,61227,"Hampshire,MA"
28795,82090,"Middlesex,MA"
417,85478,"Nantucket,MA"
10941,84916,"Norfolk,MA"
11196,75092,"Plymouth,MA"
28468,53540,"Suffolk,MA"
20608,65223,"Worcester,MA"
2826,39293,"Allegany,MD"
17322,87430,"Anne Arundel,MD"
28106,66486,"Baltimore,MD"
38950,41385,"Baltimore City,MD"
1831,95477,"Calvert,MD"
1073,58632,"Caroline,MD"
3051,84790,"Carroll,MD"
3964,66689,"Cecil,MD"
3955,93160,"Charles,MD"
1306,46361,"Dorchester,MD"
4639,84570,"Frederick,MD"
613,45206,"Garrett,MD"
4780,80622,"Harford,MD"
7077,109865,"Howard,MD"
444,56259,"Kent,MD"
19559,98221,"Montgomery,MD"
579,38447,"Somerset,MD"
967,61597,"Talbot,MD"
3498,55609,"Washington,MD"
3954,51092,"Wicomico,MD"
2410,57952,"Worcester,MD"
3447,44921,"Androscoggin,ME"
1288,37855,"Aroostook,ME"
7807,57461,"Cumberland,ME"
721,41626,"Franklin,ME"
1100,47460,"Hancock,ME"
3840,46808,"Kennebec,ME"
846,49755,"Knox,ME"
609,50181,"Lincoln,ME"
1592,40674,"Oxford,ME"
4782,43734,"Penobscot,ME"
347,36646,"Piscataquis,ME"
795,56733,"Sagadahoc,ME"
1694,38642,"Somerset,ME"
729,42221,"Waldo,ME"
648,37236,"Washington,ME"
4890,57348,"York,ME"
221,37189,"Alcona,MI"
114,37586,"Alger,MI"
2162,52061,"Allegan,MI"
619,38016,"Alpena,MI"
439,45362,"Antrim,MI"
265,38874,"Arenac,MI"
60,41189,"Baraga,MI"
831,52186,"Barry,MI"
2453,45376,"Bay,MI"
184,47366,"Benzie,MI"
5333,43633,"Berrien,MI"
822,41856,"Branch,MI"
5210,42110,"Calhoun,MI"
1000,44346,"Cass,MI"
423,45949,"Charlevoix,MI"
525,38410,"Cheboygan,MI"
730,41637,"Chippewa,MI"
586,32668,"Clare,MI"
1008,60466,"Clinton,MI"
270,40295,"Crawford,MI"
1177,42676,"Delta,MI"
77,44136,"Dickinson,MI"
2177,54115,"Eaton,MI"
545,50929,"Emmet,MI"
19498,42089,"Genesee,MI"
481,37626,"Gladwin,MI"
297,34252,"Gogebic,MI"
1291,51766,"Grand Traverse,MI"
688,40359,"Gratiot,MI"
760,41759,"Hillsdale,MI"
515,35430,"Houghton,MI"
552,40204,"Huron,MI"
8772,45321,"Ingham,MI"
1079,47892,"Ionia,MI"
649,36236,"Iosco,MI"
224,34685,"Iron,MI"
1560,36372,"Isabella,MI"
3713,46615,"Jackson,MI"
8428,45775,"Kalamazoo,MI"
532,40140,"Kalkaska,MI"
17426,51667,"Kent,MI"
39,39038,"Keweenaw,MI"
308,29379,"Lake,MI"
1298,52939,"Lapeer,MI"
112,55018,"Leelanau,MI"
1768,47766,"Lenawee,MI"
2270,72359,"Livingston,MI"
89,39469,"Luce,MI"
