county,state,total_violent_crime,household_income
Payne,OK,2460,36812
Wapello,IA,1207,41425
Clark,IL,175,47405
Jefferson,KS,507,56875
Kaufman,TX,2520,61194
Keweenaw,MI,39,39038
Wichita,KS,35,53018
Butler,KS,1924,56454
Shiawassee,MI,1407,46217
Livingston,IL,999,54614
Jones,MS,1971,38074
Klamath,OR,1576,39627
Madison,IL,6539,53633
Thomas,KS,193,48187
Cambria,PA,2873,41730
Asotin,WA,795,43175
Poweshiek,IA,284,50349
Waller,TX,941,50097
Northumberland,PA,1645,41208
Cass,IL,72,45734
Cannon,TN,224,40689
Calhoun,WV,68,31679
Boyle,KY,774,41473
Mercer,PA,2927,44301
Gilmer,GA,613,39140
Gladwin,MI,481,37626
Covington City,VA,165,34319
Wilcox,GA,140,32928
Boone,WV,471,42156
Benton,WA,5005,60485
Morton,KS,45,46607
Sanilac,MI,693,40478
Burnett,WI,447,39564
Terrell,TX,5,39479
Gwinnett,GA,20997,60445
Boise,ID,171,41056
Hawaii,HI,5818,51250
Winchester City,VA,1267,44200
Dane,WI,14258,61721
Barton,MO,324,40580
Rush,KS,63,42610
Russell,VA,538,33872
Milam,TX,641,37391
Clare,MI,586,32668
Live Oak,TX,251,42829
Creek,OK,1384,43026
Rich,UT,40,50000
Walker,GA,2080,39963
Harrisonburg City,VA,1188,38048
New Madrid,MO,213,35793
Wheeler,OR,3,37974
Cook,GA,386,34985
Kingman,KS,140,47466
Canyon,ID,4447,42105
Douglas,WI,1768,45418
Richland,IL,338,44070
San Saba,TX,67,37743
Polk,WI,635,48538
Lebanon,PA,2841,54818
Anderson,KS,225,41713
Pulaski,IN,213,44764
Adair,MO,761,34733
Big Horn,MT,135,39966
Powell,MT,75,40802
Isabella,MI,1560,36372
Simpson,KY,521,39546
Runnels,TX,156,37667
Hale,TX,1142,41191
Lyon,KS,1023,38981
Dawson,MT,316,50405
Middlesex,MA,28795,82090
Tyler,WV,162,39206
Okanogan,WA,909,40368
Thurston,WA,8231,62229
Clark,WA,12674,58225
